Country Name,Continent,CO2 emissions (metric tons per capita),Year,CO2 emissions (kg per capita),Air pollution (deaths per 100000),Population
Afghanistan,Asia,0.046,2002,45.574,283.786,20779953
Albania,Europe,1.232,2002,1232.379,65.218,3089027
Algeria,Africa,2.587,2002,2586.712,56.612,31042235
Andorra,Europe,7.566,2002,7566.24,20.914,65390
Angola,Africa,0.896,2002,895.578,191.209,16395473
Antigua and Barbuda,North America,4.981,2002,4980.97,44.72,76016
Argentina,South America,3.117,2002,3117.425,42.739,36870787
Armenia,Asia,1.028,2002,1028.354,93.847,3069591
Australia,Oceania,17.982,2002,17981.925,19.398,19153000
Austria,Europe,8.583,2002,8583.317,29.15,8011566
Azerbaijan,Asia,3.204,2002,3203.642,111.735,8048600
Bahrain,Asia,23.424,2002,23424.109,114.8,664611
Bangladesh,Asia,0.207,2002,207.053,150.567,127657854
Barbados,North America,5.011,2002,5010.551,46.644,271515
Belarus,Europe,5.255,2002,5254.65,77.959,9979610
Belgium,Europe,10.728,2002,10727.988,32.377,10251250
Belize,North America,1.982,2002,1981.805,69.978,247315
Benin,Africa,0.299,2002,298.818,151.953,6865951
Bhutan,Asia,0.39,2002,389.595,125.053,591021
Bolivia,South America,0.949,2002,949.35,92.512,8418264
Bosnia and Herzegovina,Europe,3.873,2002,3872.97,70.944,3751176
Botswana,Africa,2.364,2002,2364.14,76.513,1643334
Brazil,South America,1.77,2002,1769.881,50.997,174790340
Brunei,Asia,13.323,2002,13322.683,33.054,333165
Bulgaria,Europe,5.563,2002,5563.239,78.743,8170172
Burkina Faso,Africa,0.078,2002,78.093,168.79,11607942
Burundi,Africa,0.031,2002,31.324,212.101,6378871
Cambodia,Asia,0.175,2002,174.873,181.947,12155239
Cameroon,Africa,0.314,2002,313.616,163.63,15513945
Canada,North America,16.72,2002,16720.301,20.265,30685730
Cape Verde,Africa,0.632,2002,632.118,68.446,428188
Central African Republic,Africa,0.066,2002,65.753,230.82,3640427
Chad,Africa,0.044,2002,44.35,189.291,8355654
Chile,South America,3.132,2002,3131.772,37.927,15342353
China,Asia,2.976,2002,2975.68,133.137,1262645000
Colombia,South America,1.389,2002,1388.856,40.422,39629968
Comoros,Africa,0.193,2002,193.159,31.402,542357
Costa Rica,North America,1.346,2002,1346.039,52.282,3962372
Croatia,Europe,4.714,2002,4713.896,44,4468302
Cuba,North America,2.359,2002,2358.999,48.267,11126430
Cyprus,Europe,7.339,2002,7339.033,46.864,943290
Czech Republic,Europe,11.624,2002,11624.103,31.592,10255063
Denmark,Europe,10.015,2002,10015.01,127.185,5339616
