Country Name,CO2 emissions (metric tons per capita),Continent,Population,Air pollution (deaths per 100000),CO2 emissions (kg per capita),Year
Qatar,32.47446876,Asia,2695122,61.79388295,32474.47,2019
Kuwait,22.0224164,Asia,4268873,34.7858006,22022.42,2019
Bahrain,20.26610279,Asia,1472233,62.90044938,20266.1,2019
United Arab Emirates,19.32956328,Asia,9441129,77.84550799,19329.56,2019
Brunei Darussalam,16.13215855,Asia,449002,20.30087711,16132.16,2019
Canada,15.43061283,North America,38454327,10.71661841,15430.61,2019
Luxembourg,15.30642656,Europe,647599,49.98650948,15306.43,2019
Saudi Arabia,15.28457873,Asia,36408820,64.07581883,15284.58,2019
Oman,15.28243639,Asia,4576298,53.69908926,15282.44,2019
Australia,15.23826715,Oceania,26177413,10.79595183,15238.27,2019
United States of America,14.67341061,North America,338289857,18.82514567,14673.41,2019
Trinidad and Tobago,12.32285487,North America,1531044,51.80870491,12322.85,2019
Turkmenistan,12.26335409,Asia,6430770,67.29758186,12263.35,2019
Russia,11.79720293,Europe,144713314,42.73102728,11797.2,2019
Kazakhstan,11.45693783,Asia,19397998,52.1217876,11456.94,2019
Czech Republic,9.022786158,Europe,10493986,30.15992328,9022.79,2019
Japan,8.540980205,Asia,123951692,11.38609245,8540.98,2019
Netherlands,8.437074627,Europe,17564014,18.61250428,8437.07,2019
Libya,8.380729344,Africa,6812341,72.78869192,8380.73,2019
Singapore,8.307079491,Asia,5975689,19.98012765,8307.08,2019
Belgium,8.095583954,Europe,11655930,19.12751273,8095.58,2019
Malaysia,7.927126037,Asia,33938221,50.44055047,7927.13,2019
Germany,7.911621016,Europe,83369843,19.82826478,7911.62,2019
Poland,7.773641839,Europe,39857145,34.26669114,7773.64,2019
Estonia,7.672277909,Europe,1326062,15.65168687,7672.28,2019
China,7.605936961,Asia,1425887337,72.67678886,7605.94,2019
South Africa,7.507736092,Africa,59893885,57.85389002,7507.74,2019
Finland,7.372854761,Europe,5540745,8.5074915,7372.85,2019
Austria,7.293984252,Europe,8939617,17.58634935,7293.98,2019
Ireland,7.245143221,Europe,5023109,14.66747096,7245.14,2019
Mongolia,7.153120086,Asia,3398366,81.61391845,7153.12,2019
Israel,6.919593718,Asia,9038309,21.25797356,6919.59,2019
New Zealand,6.830414187,Oceania,5185288,8.59875688,6830.41,2019
Norway,6.722269985,Europe,5434319,10.88894104,6722.27,2019
Serbia,6.616046939,Europe,7221365,62.57853348,6616.05,2019
Slovenia,6.512209378,Europe,2119844,19.72328919,6512.21,2019
Andorra,6.481217432,Europe,79824,15.56947846,6481.22,2019
Bosnia and Herzegovina,6.382918043,Europe,3233526,58.07743401,6382.92,2019
Seychelles,6.248399634,Africa,107118,42.32630252,6248.4,2019
Belarus,6.122237765,Europe,9534954,50.71194995,6122.24,2019
Cyprus,5.998795283,Europe,1251488,25.95910461,5998.8,2019
Slovakia,5.698416255,Europe,5643453,35.36190177,5698.42,2019
Bulgaria,5.61085728,Europe,6781953,51.39213645,5610.86,2019
Greece,5.59618907,Europe,10384971,25.72366268,5596.19,2019
Antigua and Barbuda,5.354476455,North America,93763,32.35337088,5354.48,2019
Italy,5.311315442,Europe,59037474,16.75889408,5311.32,2019
United Kingdom,5.220514488,Europe,67508936,17.78370015,5220.51,2019
Denmark,5.107988509,Europe,5882261,19.32488726,5107.99,2019
Spain,5.09135092,Europe,47558630,14.48129276,5091.35,2019
Chile,4.821118299,South America,19603733,24.29921298,4821.12,2019
Turkey,4.75658475,Asia,85341241,46.77557879,4756.58,2019
Hungary,4.74663103,Europe,9967308,39.20837155,4746.63,2019
Suriname,4.558253785,South America,618040,48.71442865,4558.25,2019
Iceland,4.548442258,Europe,372899,9.946781471,4548.44,2019
France,4.468770089,Europe,64626628,11.81922211,4468.77,2019
Iraq,4.440624129,Asia,44496122,42.67741934,4440.62,2019
Switzerland,4.359041462,Europe,8740472,11.70517165,4359.04,2019
Barbados,4.355082032,North America,281635,35.06816141,4355.08,2019
Portugal,4.339768426,Europe,10270865,15.49125211,4339.77,2019
Lithuania,4.198076022,Europe,2750055,15.97749926,4198.08,2019
Montenegro,4.179875994,Europe,627082,47.54888834,4179.88,2019
Lebanon,4.076894274,Asia,5489739,49.84311848,4076.89,2019
Croatia,4.063707833,Europe,4030358,33.55207459,4063.71,2019
Algeria,3.977650459,Africa,44903225,43.68351173,3977.65,2019
Maldives,3.973956262,Asia,523787,21.43409424,3973.96,2019
Latvia,3.955435862,Europe,1850651,34.25710938,3955.44,2019
Equatorial Guinea,3.945480032,Africa,1674908,78.35860985,3945.48,2019
Liechtenstein,3.945292108,Europe,39327,33.1730466,3945.29,2019
Ukraine,3.936583531,Europe,39701739,63.88562435,3936.58,2019
Thailand,3.836090019,Asia,71697030,32.81342263,3836.09,2019
Romania,3.817434477,Europe,19659267,40.41600613,3817.43,2019
Argentina,3.740650291,South America,45510318,31.05788284,3740.65,2019
Guyana,3.640892855,South America,808726,63.13106941,3640.89,2019
Azerbaijan,3.542397828,Asia,10358074,80.19455282,3542.4,2019
Mexico,3.521600048,North America,127504125,44.40708422,3521.6,2019
Vietnam,3.488312636,Asia,98186856,60.3175333,3488.31,2019
Uzbekistan,3.47554445,Asia,34627652,105.0869242,3475.54,2019
Sweden,3.405037919,Europe,10549347,9.39530308,3405.04,2019
Moldova,3.324610168,Europe,3272996,49.86823622,3324.61,2019
Mauritius,3.294591006,Africa,1299469,48.68229857,3294.59,2019
Malta,3.293245606,Europe,533286,23.62493339,3293.25,2019
Botswana,3.147107071,Africa,2630296,69.80400608,3147.11,2019
Panama,3.141454996,North America,4408581,21.31222937,3141.45,2019
Marshall Islands,3.061693238,Oceania,41569,93.04476503,3061.69,2019
Saint Lucia,2.95412906,North America,179857,39.21108794,2954.13,2019
Grenada,2.946376075,North America,125438,49.21216663,2946.38,2019
Jamaica,2.845730012,North America,2827377,41.89005713,2845.73,2019
Laos,2.609681834,Asia,7529475,119.6857083,2609.68,2019
Tunisia,2.557564208,Africa,12356117,51.6134135,2557.56,2019
Dominican Republic,2.535627952,North America,11228821,36.97274516,2535.63,2019
Jordan,2.438204112,Asia,11285869,39.44835404,2438.2,2019
Gabon,2.416484011,Africa,2388992,72.05364229,2416.48,2019
Dominica,2.367424267,North America,72737,37.67525842,2367.42,2019
Saint Vincent and the Grenadines,2.350962452,North America,103948,48.67290216,2350.96,2019
Indonesia,2.290397148,Asia,275501339,66.18593255,2290.4,2019
Cuba,2.286146065,North America,11212191,32.46048102,2286.15,2019
Ecuador,2.261469817,South America,18001000,27.13524291,2261.47,2019
Armenia,2.086060678,Asia,2780469,64.81278003,2086.06,2019
Brazil,2.057810839,South America,215313498,30.32107718,2057.81,2019
Morocco,1.959872285,Africa,37457971,67.26864668,1959.87,2019
Bolivia,1.940398005,South America,12224110,53.87507204,1940.4,2019
Uruguay,1.874784543,South America,3422794,20.4019747,1874.78,2019
Fiji,1.831553275,Oceania,929766,100.5946678,1831.55,2019
India,1.797620119,Asia,1417173173,131.9940186,1797.62,2019
Peru,1.745591927,South America,34049588,30.14589917,1745.59,2019
Albania,1.69224832,Europe,2842321,40.48112425,1692.25,2019
Namibia,1.691705428,Africa,2567012,75.60720741,1691.71,2019
