Country Name,CO2 emissions (metric tons per capita),Continent,Population,Air pollution (deaths per 100000)
Afghanistan,0.16,Asia,41128771,183.94
Albania,1.69,Europe,2842321,40.48
Algeria,3.98,Africa,44903225,43.68
Andorra,6.48,Europe,79824,15.57
Angola,0.79,Africa,35588987,95.22
Antigua and Barbuda,5.35,North America,93763,32.35
Argentina,3.74,South America,45510318,31.06
Armenia,2.09,Asia,2780469,64.81
Australia,15.24,Oceania,26177413,10.80
Austria,7.29,Europe,8939617,17.59
Azerbaijan,3.54,Asia,10358074,80.19
Bahrain,20.27,Asia,1472233,62.90
Bangladesh,0.56,Asia,171186372,108.53
Barbados,4.36,North America,281635,35.07
Belarus,6.12,Europe,9534954,50.71
Belgium,8.10,Europe,11655930,19.13
Belize,1.64,North America,405272,44.21
Benin,0.62,Africa,13352864,113.16
Bhutan,1.38,Asia,782455,73.11
Bolivia,1.94,South America,12224110,53.88
Bosnia and Herzegovina,6.38,Europe,3233526,58.08
Botswana,3.15,Africa,2630296,69.80
Brazil,2.06,South America,215313498,30.32
Brunei Darussalam,16.13,Asia,449002,20.30
Bulgaria,5.61,Europe,6781953,51.39
Burkina Faso,0.25,Africa,22673762,133.18
Burundi,0.06,Africa,12889576,142.77
Cambodia,0.98,Asia,16767842,107.98
Cameroon,0.36,Africa,27914536,113.96
Canada,15.43,North America,38454327,10.72
Cape Verde,1.18,Africa,593149,50.82
Central African Republic,0.05,Africa,5579144,199.65
Chad,0.14,Africa,17723315,159.15
Chile,4.82,South America,19603733,24.30
China,7.61,Asia,1425887337,72.68
Colombia,1.61,South America,51874024,22.10
Comoros,0.38,Africa,836774,93.99
Costa Rica,1.63,North America,5180829,21.21
Croatia,4.06,Europe,4030358,33.55
Cuba,2.29,North America,11212191,32.46
Cyprus,6.00,Europe,1251488,25.96
Czech Republic,9.02,Europe,10493986,30.16
Denmark,5.11,Europe,5882261,19.32
Djibouti,0.43,Africa,1120849,80.70
Dominica,2.37,North America,72737,37.68
Dominican Republic,2.54,North America,11228821,36.97
Ecuador,2.26,South America,18001000,27.14
El Salvador,1.21,North America,6336392,45.90
Equatorial Guinea,3.95,Africa,1674908,78.36
Eritrea,0.25,Africa,3684032,132.70
Estonia,7.67,Europe,1326062,15.65
Ethiopia,0.16,Africa,123379924,88.83
Fiji,1.83,Oceania,929766,100.59
Finland,7.37,Europe,5540745,8.51
France,4.47,Europe,64626628,11.82
Gabon,2.42,Africa,2388992,72.05
Germany,7.91,Europe,83369843,19.83
Ghana,0.66,Africa,33475870,105.44
Greece,5.60,Europe,10384971,25.72
Grenada,2.95,North America,125438,49.21
Guatemala,1.16,North America,17843908,65.98
Guinea,0.31,Europe,63301,160.50
Guinea-Bissau,0.17,Africa,2105566,161.80
Guyana,3.64,South America,808726,63.13
Haiti,0.29,North America,11584996,121.36
Honduras,1.05,North America,10432860,51.36
Hungary,4.75,Europe,9967308,39.21
Iceland,4.55,Europe,372899,9.95
India,1.80,Asia,1417173173,131.99
Indonesia,2.29,Asia,275501339,66.19
Iraq,4.44,Asia,44496122,42.68
Ireland,7.25,Europe,5023109,14.67
Israel,6.92,Asia,9038309,21.26
Italy,5.31,Europe,59037474,16.76
Jamaica,2.85,North America,2827377,41.89
Japan,8.54,Asia,123951692,11.39
Jordan,2.44,Asia,11285869,39.45
Kazakhstan,11.46,Asia,19397998,52.12
Kenya,0.42,Africa,54027487,90.35
Kiribati,0.77,Oceania,131232,153.74
Kuwait,22.02,Asia,4268873,34.79
Kyrgyzstan,1.56,Asia,6630623,70.16
Laos,2.61,Asia,7529475,119.69
Latvia,3.96,Europe,1850651,34.26
Lebanon,4.08,Asia,5489739,49.84
Lesotho,0.36,Africa,2305825,151.95
Liberia,0.24,Africa,5302681,113.16
Libya,8.38,Africa,6812341,72.79
Liechtenstein,3.95,Europe,39327,33.17
Lithuania,4.20,Europe,2750055,15.98
Luxembourg,15.31,Europe,647599,49.99
Madagascar,0.15,Africa,29611714,155.07
Malawi,0.08,Africa,20405317,104.94
Malaysia,7.93,Asia,33938221,50.44
Maldives,3.97,Asia,523787,21.43
Mali,0.30,Africa,22593590,107.08
Malta,3.29,Europe,533286,23.62
Marshall Islands,3.06,Oceania,41569,93.04
Mauritania,0.87,Africa,4736139,83.84
Mauritius,3.29,Africa,1299469,48.68
Mexico,3.52,North America,127504125,44.41
Moldova,3.32,Europe,3272996,49.87
Mongolia,7.15,Asia,3398366,81.61
Montenegro,4.18,Europe,627082,47.55
Morocco,1.96,Africa,37457971,67.27
Mozambique,0.25,Africa,32969517,125.86
Myanmar,0.68,Asia,54179306,118.11
Namibia,1.69,Africa,2567012,75.61
Nepal,0.47,Asia,30547580,133.26
Netherlands,8.44,Europe,17564014,18.61
New Zealand,6.83,Oceania,5185288,8.60
Nicaragua,0.80,North America,6948392,33.44
Niger,0.09,Africa,26207977,138.47
Nigeria,0.57,Africa,218541212,81.22
Norway,6.72,Europe,5434319,10.89
Oman,15.28,Asia,4576298,53.70
Pakistan,0.88,Asia,235824862,123.22
Panama,3.14,North America,4408581,21.31
Papua New Guinea,0.86,Oceania,10142619,245.30
Paraguay,1.17,South America,6780744,41.99
Peru,1.75,South America,34049588,30.15
Philippines,1.35,Asia,115559009,106.87
Poland,7.77,Europe,39857145,34.27
Portugal,4.34,Europe,10270865,15.49
Qatar,32.47,Asia,2695122,61.79
Romania,3.82,Europe,19659267,40.42
Russian Federation,11.80,Europe,144713314,42.73
Rwanda,0.11,Africa,13776698,97.08
Saint Lucia,2.95,North America,179857,39.21
Saint Vincent and the Grenadines,2.35,North America,103948,48.67
Samoa,1.52,Oceania,222382,76.83
Sao Tome and Principe,0.70,Africa,227380,110.08
Saudi Arabia,15.28,Asia,36408820,64.08
Senegal,0.65,Africa,17316449,106.06
Serbia,6.62,Europe,7221365,62.58
Seychelles,6.25,Africa,107118,42.33
Sierra Leone,0.12,Africa,8605718,149.60
Singapore,8.31,Asia,5975689,19.98
Slovakia,5.70,Europe,5643453,35.36
Slovenia,6.51,Europe,2119844,19.72
Solomon Islands,0.54,Oceania,724273,187.25
Somalia,0.04,Africa,17597511,165.83
South Africa,7.51,Africa,59893885,57.85
South Sudan,0.15,Africa,10913164,156.17
Spain,5.09,Europe,47558630,14.48
Sri Lanka,1.09,Asia,21832143,38.46
Sudan,0.48,Africa,46874204,95.70
Suriname,4.56,South America,618040,48.71
Sweden,3.41,Europe,10549347,9.40
Switzerland,4.36,Europe,8740472,11.71
Syria,1.51,Asia,22125249,64.23
Tajikistan,1.01,Asia,9952787,94.30
Tanzania,0.21,Africa,65497748,96.54
Thailand,3.84,Asia,71697030,32.81
Timor-Leste,0.48,Asia,1341296,97.66
Togo,0.29,Africa,8848699,115.23
Tonga,1.53,Oceania,106858,70.73
Trinidad and Tobago,12.32,North America,1531044,51.81
Tunisia,2.56,Africa,12356117,51.61
Turkey,4.76,Asia,85341241,46.78
Turkmenistan,12.26,Asia,6430770,67.30
Uganda,0.13,Africa,47249585,93.72
Ukraine,3.94,Europe,39701739,63.89
United Arab Emirates,19.33,Asia,9441129,77.85
United Kingdom,5.22,Europe,67508936,17.78
United States,14.67,North America,338289857,18.83
Uruguay,1.87,South America,3422794,20.40
Uzbekistan,3.48,Asia,34627652,105.09
Vanuatu,0.70,Oceania,326740,139.65
Vietnam,3.49,Asia,98186856,60.32
Zambia,0.38,Africa,20017675,98.87
Zimbabwe,0.80,Africa,16320537,125.03
